movie,genre
The Dark Knight,action|drama|thriller
Inception,action|sci-fi|thriller
Interstellar,sci-fi|drama|adventure
Avengers: Endgame,action|sci-fi|adventure
Titanic,romance|drama
Bahubali: The Beginning,action|drama|fantasy
Bahubali 2: The Conclusion,action|drama|fantasy
RRR,action|drama|historical
Pushpa: The Rise,action|drama|thriller
3 Idiots,comedy|drama
PK,comedy|drama|sci-fi
Dangal,drama|sports
KGF: Chapter 1,action|drama|thriller
KGF: Chapter 2,action|drama|thriller
Spider-Man: No Way Home,action|sci-fi|adventure
Doctor Strange,action|sci-fi|fantasy
Wonder Woman,action|adventure|fantasy
Forrest Gump,drama|romance
The Lion King,animation|adventure|family
Frozen,animation|adventure|family
Jumanji: Welcome to the Jungle,action|adventure|comedy
Black Panther,action|adventure|sci-fi
Shang-Chi and the Legend of the Ten Rings,action|adventure|sci-fi
Guardians of the Galaxy,action|sci-fi|comedy
Your Name,animation|romance|drama
Spirited Away,animation|fantasy|adventure
My Hero Academia: World Heroes Mission,animation|action|adventure
Love Aaj Kal (2020),romance|drama
Jab We Met,romance|drama|comedy
Kabir Singh,drama|romance
Chhichhore,comedy|drama
Drishyam,thriller|drama|mystery
Andhadhun,thriller|drama|crime
Badla,thriller|mystery
Rangasthalam,action|drama
Arjun Reddy,drama|romance
Sye,action|sports
Eega,fantasy|action|comedy
Ala Vaikunthapurramuloo,action|drama|romance
Fidaa,romance|drama
Geetha Govindam,romance|comedy
Bajrangi Bhaijaan,drama|comedy|adventure
PK,comedy|drama|sci-fi
War,action|thriller
Pathaan,action|thriller
Don 2,action|thriller
Kick,action|comedy
Agent Sai Srinivasa Athreya,comedy|thriller